TRT,TFP,TRC,TI,TM,TGC,TRAN
0,238,191.373,340.6159,4.2761,0,2949.3
0,244,185.367,329.9261,4.1419,0,0
0,233,179.634,319.7222,4.0138,0,0
0,239,198.471,353.2493,4.4347,0,0
0,231,179.907,320.2081,4.0199,0,0
0,278,306.306,545.1798,6.8442,0,0
0,211,167.895,298.8285,3.7515,0,0
0,200,158.886,282.7938,3.5502,0,0
0,204,165.711,294.9413,3.7027,0,0
0,297,229.047,407.6701,5.1179,0,0
0,496,591.591,1052.9453,13.2187,0,0
0,242,190.554,339.1582,4.2578,0,0
0,157,107.289,190.9587,2.3973,0,0
0,149,3624.286,1305.6138,2.3302,0,2132.20579953812
0,158,112.749,200.6767,2.5193,0,1006.25
0,154,104.559,186.0997,2.3363,0,0
0,152,106.197,189.0151,2.3729,0,0
0,160,104.559,186.0997,2.3363,0,0
0,149,103.194,183.6702,2.3058,0,0
0,152,102.102,181.7266,2.2814,0,0
0,146,107.835,191.9305,2.4095,0,0
0,168,119.847,213.3101,2.6779,0,0
0,140,104.832,186.5856,2.3424,0,0
0,151,110.838,197.2754,2.4766,0,0
0,141,104.559,186.0997,2.3363,0,0
0,143,96.642,172.0086,2.1594,0,0
0,148,105.378,187.5574,2.3546,0,0
0,141,112.927,193.8741,2.4339,0,1.7528526708
0,145,192.783,180.2689,2.2631,0,30.8549602416
0,155,179.872,176.8676,2.2204,0,39.5121440692
0,147,174.847,164.7201,2.0679,0,37.8298717148
0,139,302.307,174.4381,2.1899,0,80.3601740348
0,136,505.555,162.7765,2.0435,0,80.958197738
0,137,22627.92,165.206,2.074,0,871.8991884988
0,131,103.74,184.642,2.318,0,9158.05045958
0,131,98.553,175.4099,2.2021,0,10769.244
0,141,87.633,155.9739,1.9581,0,0
0,156,88.998,158.4034,1.9886,0,0
0,142,96.096,171.0368,2.1472,0,0
0,132,105.378,187.5574,2.3546,0,0
0,135,87.36,155.488,1.952,0,0
0,123,85.449,152.0867,1.9093,0,0
0,124,83.265,148.1995,1.8605,0,0.293612181
0,122,90.09,160.347,2.013,0,10.8038298176
0,163,76.986,137.0238,1.7202,0,50.1519027024
0,114,72.345,128.7635,1.6165,0,671.6490645108
0,104,5796.977,22807.9891,1.5189,0,0
0,112,1921.342,1735.4186,1.5494,0,0
0,121,69.888,124.3904,1.5616,0,0
